url,label
https://www.google.com,legitimate
https://mail.google.com/mail/u/0/,legitimate
https://www.libtelco.com.lr,legitimate
https://www.lonestarcell.com,legitimate
https://www.wikipedia.org,legitimate
https://en.wikipedia.org/wiki/Liberia,legitimate
https://github.com/login,legitimate
https://www.paypal.com/signin,legitimate
https://www.microsoft.com/en-us/security,legitimate
https://login.microsoftonline.com,legitimate
https://www.facebook.com,legitimate
https://www.linkedin.com/feed/,legitimate
https://www.bbc.com/news,legitimate
https://www.un.org/en/,legitimate
https://www.who.int,legitimate
https://www.amazon.com/gp/cart,legitimate
https://stackoverflow.com/questions,legitimate
https://www.w3.org/TR/html52/,legitimate
https://www.php.net/manual/en/,legitimate
https://developer.mozilla.org/en-US/docs/Web/CSS,legitimate
https://www.ecobank.com/personal-banking,legitimate
https://www.netflix.com/browse,legitimate
https://www.youtube.com/watch?v=abc123,legitimate
https://news.ycombinator.com,legitimate
https://www.reuters.com/world/africa/,legitimate
http://example.org,legitimate
https://www.nytimes.com,legitimate
https://www.apple.com/iphone/,legitimate
https://drive.google.com/drive/my-drive,legitimate
https://www.dropbox.com/home,legitimate
http://paypa1-secure.verify-account.tk/login.php,phishing
http://192.168.10.45/libtelco/billing/login.html,phishing
https://libtelco-billing-update.com/confirm,phishing
http://libtelco.com.lr.account-suspend.xyz/pay,phishing
https://g00gle-accounts.com/signin,phishing
http://www.faceb00k-login.ml/,phishing
http://secure-update-appleid.com/verify/account,phishing
https://microsoft-office365-verify.top/owa/login,phishing
http://lonestar-free-airtime-bonus.click/claim,phishing
http://www.paypal.com@198.51.100.23/webscr,phishing
https://ecobank-online-verify.support/banking/login,phishing
http://netfIix-billing-update.com/account,phishing
http://amaz0n-order-confirm.gq/invoice,phishing
https://wallet-recover-kyc.cfd/validate,phishing
http://login.secure.account.verify.lonestar-momo.xyz/,phishing
http://203.0.113.77:8080/orange/money/unlock,phishing
https://xn--pypal-4ve.com/signin,phishing
http://instagram-verify-badge.icu/confirm,phishing
http://dropbox-shared-files.buzz/download/invoice,phishing
http://whatsapp-gold-update.cam/install,phishing
https://outlook-mail-suspend.sbs/password/reset,phishing
http://yahoo-account-recovery.rest/login,phishing
http://linkedln.com/login,phishing
https://westernunion-transfer-confirm.work/track,phishing
http://moneygram-payout.loan/claim-reward,phishing
http://bank-secure-login-verify-account-update.com/signin?session=8f3a9%2F%2F%3D%3D%2Fx,phishing
http://github-security-alert.win/verify,phishing
http://icloud-find-my-iphone.monster/login,phishing
http://gmail-storage-full.quest/upgrade/signin,phishing
http://libtelc0.com.lr-portal.cyou/login,phishing
